id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
CFMD-010,P1,1,backend,Codeforces 抓取改存 Markdown,在 codeforces.py 建立 Codeforces HTML→Markdown 清理流程，抓取時直接寫入 Markdown content，並正規化 $$$...$$$ 為 $...$。,_clean_problem_markdown()（或更新後 _clean_problem_html）可呼叫且回傳 Markdown; script[type^=math/tex] 轉為 $...$/$$...$$; $$$...$$$ 正規化為 $...$; span.MathJax/MathJax_Preview/div.MathJax_Display 移除; .header/script/style/overlay/.ojb-overlay/.html2md-panel/.likeForm/.monaco-editor 移除; section-title→##; property-title→**title**:; span.tex-font-style-bf→**bold**; pre→fenced code block; table.bordertable→Markdown table; .sample-tests 轉為 fenced code block; del 標籤保留; _extract_problem_statement() 回傳 Markdown 並修正相對 URL,AUTOSERVER,MathJax 需在移除 script 前處理; Markdown 產出不含主要 HTML 標籤; 不新增額外網路請求; 清理流程無明顯效能退化; 僅影響 Codeforces 流程,AtCoder/LeetCode 翻譯流程不受影響; Codeforces 內容仍可被翻譯,已完成,已完成,已完成,已提交,,plan/2026-01-05_18-23-54-codeforces-html-parse.md:92;codeforces.py:278;codeforces.py:347;codeforces.py:351,picked_reason:P1/phase1 基礎變更，後續依賴 Markdown 清理; done_at:2026-01-05; evidence:uv run python -m pytest tests/test_codeforces.py -v (19 passed); risk:low 測試已通過
CFMD-020,P1,2,backend,輸出層支援 Markdown/LaTeX,調整 html_to_text 或翻譯前處理，使 Codeforces Markdown content 不被當成 HTML 破壞，同時維持 $...$/$$...$$ 轉純文字。,$n \leq 10^5$ 轉為 n <= 10^5; $$\sum_{i=1}^{n}$$ 轉為 sum_i=1^n; Codeforces Markdown 的 code block/標題保留; 其他來源輸出不變,AUTOSERVER,確認對非 Codeforces HTML 的處理邏輯不變; 正則不吞掉非數學 $ 字元; 轉換順序與空白處理一致,AtCoder/LeetCode 既有測試通過; 翻譯輸出可讀,已完成,已完成,已完成,已提交,,plan/2026-01-05_18-23-54-codeforces-html-parse.md:181;leetcode.py:1015;cogs/interaction_handler_cog.py:202;tests/test_html_to_text.py:72,picked_reason:P1/phase2 影響輸出層，需緊接 Markdown 儲存; evidence:uv run python -m pytest tests/test_html_to_text.py -v (5 passed); done_at:2026-01-06; risk:low 測試已通過
CFMD-030,P1,3,backend,重新處理 CLI 轉 Markdown,更新 --reprocess-content 使用新的 Markdown 清理流程，將既有 Codeforces content 轉為 Markdown（含 $$$ 正規化），並回報更新數。,--reprocess-content 可執行且返回更新筆數; 重處理後 content 為 Markdown（無主要 HTML 標籤）; $$$...$$$ 被正規化為 $...$; 僅更新 source=codeforces 的資料,AUTOSERVER,批次更新只影響 Codeforces 資料; 不改動其他欄位; 保留既有 CLI 行為,以小量資料驗證重處理結果正確且不破壞舊資料,已完成,已完成,已完成,已提交,,plan/2026-01-05_18-23-54-codeforces-html-parse.md:340;codeforces.py:443;utils/database.py:478;codeforces.py:566,picked_reason:P1/phase3 需支援 Markdown 重新處理與統計; evidence:uv run python -m pytest tests/test_codeforces.py -v (19 passed); done_at:2026-01-06; risk:low 測試已通過
CFMD-040,P1,4,backend,測試擴充（Markdown/$$$）,新增測試覆蓋 Codeforces Markdown 清理、$$$ 正規化、sample-tests/表格/MathJax 轉換，以及輸出層 LaTeX 轉純文字。,tests/test_codeforces.py 與 tests/test_html_to_text.py 新增測試; 覆蓋 header/overlay 移除、MathJax（含缺少 script 的容器）、table、section/property、sample-tests、pre、$$$ 正規化; pytest tests/ -v 全通過; 無 flaky,AUTOSERVER,測試名稱對應需求且不引入外部依賴; fixture 使用 tmp_path,回歸執行完整測試套件並確認新增測試穩定,已完成,已完成,已完成,已提交,,plan/2026-01-05_18-23-54-codeforces-html-parse.md:242;tests/test_codeforces.py:131;tests/test_html_to_text.py:9;tests/test_codeforces.py:214,picked_reason:P1/phase4 補齊清理測試與回歸; evidence:uv run python -m pytest tests/ -v (74 passed); done_at:2026-01-06; risk:low 測試已通過
CFMD-050,P1,5,both,回歸與人工驗證,執行全量測試並手動確認 Discord Bot 翻譯流程與多來源題目顯示（Codeforces Markdown 內容）。,pytest tests/ -v 全部通過; /cf 翻譯格式正確（Markdown 顯示正常）; AtCoder/LeetCode 翻譯正常,AUTOE2E,明確記錄手動驗證步驟與觀察點; 回歸清單完整,完成後再抽查 LLM 翻譯品質與數學公式完整性,已完成,已完成,已完成,已提交,,plan/2026-01-05_18-23-54-codeforces-html-parse.md:382,picked_reason:P1/phase5 回歸與手動驗證; validation_limited:需要可連 Discord/LLM 的手動環境; manual_test:uv run bot.py 後用 /cf 取題、/problem atcoder、/problem leetcode，點翻譯按鈕檢查格式; evidence:uv run python -m pytest tests/ -v (74 passed); done_at:2026-01-06; risk:medium 手動驗證未執行
ATMD-010,P1,1,backend,AtCoder 抓取改存 Markdown,在 atcoder.py 建立 AtCoder HTML→Markdown 清理流程，抓取時直接寫入 Markdown content。,新增 _clean_problem_markdown()（或更新後 _extract_statement）可呼叫且回傳 Markdown；span.lang-en/section/div.part/div.io-style 等容器不出現在輸出；h3→##；hr→空行；pre→fenced code block；ul/li→Markdown list；var→$...$（保留 LaTeX）；相對連結/圖片修正為 https://atcoder.jp；Markdown 不含主要 HTML 標籤；不新增額外網路請求；僅影響 AtCoder 流程,AUTOSERVER,清理流程遵循 AtCoder Better 風格，且可處理 sample HTML；輸出為 Markdown；僅修改 AtCoder 解析,Codeforces/LeetCode 內容不受影響；既有 AtCoder 抓取流程仍可運作,已完成,已完成,已完成,已提交,,atcoder.py:158;atcoder.py:261;atcoder.py:168,picked_reason:P1/phase1 需先建立 AtCoder Markdown 清理基礎; evidence:.venv/bin/python -m pytest tests/test_atcoder.py -v (8 passed); done_at:2026-01-06; risk:low 測試已通過
ATMD-020,P1,2,backend,AtCoder 內容重新處理,為 atcoder.py CLI 增加 --reprocess-content，用新 Markdown 清理規則重處理既有內容並回報更新數。,--reprocess-content 可執行；僅處理 source=atcoder；使用 _clean_problem_markdown 重寫 content；輸出 Reprocessed content: <n>；不新增額外網路請求,AUTOSERVER,reprocess 僅影響 AtCoder；空內容略過；統計數字正確,Codeforces reprocess 不受影響；AtCoder 其他 CLI 行為不變,已完成,已完成,已完成,已提交,,atcoder.py:261;atcoder.py:396;atcoder.py:493,picked_reason:P1/phase2 提供 AtCoder reprocess 以更新既有內容; evidence:python3 -m py_compile atcoder.py; done_at:2026-01-06; risk:low 編譯檢查完成
ATMD-030,P1,3,tests,AtCoder Markdown 清理測試,新增/擴充測試覆蓋 AtCoder Markdown 清理（使用提供的範例 HTML）。,tests/test_atcoder.py 新增測試覆蓋 h3/hr/pre/ul-li/var/相對 URL；sample HTML 轉 Markdown 符合預期；pytest tests/test_atcoder.py -v 通過,AUTOSERVER,測試覆蓋新增清理規則；斷言不依賴外部網路,現有 AtCoder 測試仍通過,已完成,已完成,已完成,已提交,,tests/test_atcoder.py:54;atcoder.py:158;tests/test_atcoder.py:83,picked_reason:P1/phase3 補齊 AtCoder Markdown 清理測試; evidence:.venv/bin/python -m pytest tests/test_atcoder.py -v (9 passed); done_at:2026-01-06; risk:low 測試已通過
ATMD-040,P1,4,qa,AtCoder 回歸驗證,執行完整測試並手動驗證 Discord Bot 的 AtCoder 題面輸出與翻譯流程。,uv run python -m pytest tests/ -v 全通過；手動執行 bot 並驗證 /problem atcoder 題面與翻譯顯示；AtCoder/LeetCode/Codeforces 不受影響,AUTOE2E,記錄測試結果與手動驗證步驟,若無法手動驗證，notes 記錄 validation_limited/manual_test/evidence/risk,已完成,已完成,已完成,已提交,,atcoder.py:261,picked_reason:P1/phase4 回歸測試與手動驗證; validation_limited:需要可連 Discord/LLM 的手動環境; manual_test:uv run bot.py 後用 /problem atcoder 檢查題面與翻譯，並確認 /problem leetcode、/cf 不受影響; evidence:.venv/bin/python -m pytest tests/ -v (75 passed); done_at:2026-01-06; risk:medium 手動驗證未執行
ATMD-050,P1,5,backend,AtCoder Markdown 修正非預期換行,調整 AtCoder Markdown 清理流程，避免 inline 元素被拆行，輸出更接近自然段落。,"inline 內容不被 separator 強制換行（例如 ""Score : $100$ points"" 為單行）；list item 一行呈現；sample HTML 轉換結果符合預期；Markdown 不含主要 HTML 標籤；tests/test_atcoder.py 覆蓋此情境；pytest tests/test_atcoder.py -v 通過",AUTOSERVER,僅調整 AtCoder markdown 清理換行處理；不影響 Codeforces/LeetCode,既有 AtCoder 測試仍通過；/problem atcoder 題面不劣化,已完成,已完成,已完成,已提交,,atcoder.py:168;tests/test_atcoder.py:83,picked_reason:P1 修正 AtCoder 題面非預期換行; evidence:.venv/bin/python -m pytest tests/test_atcoder.py -v (9 passed); done_at:2026-01-06; risk:low 測試已通過
